"velocity:0","velocity:1","velocity:2","vtkGhostType","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0414,5.3949e-05,0,0,1.4914,1,0.3515,5.1,0.5515,0
1.0445,5.4201e-05,0,0,1.4914,1,0.3534,5.1,0.5534,0
1.0476,5.4454e-05,0,0,1.4914,1,0.3553,5.1,0.5553,0
1.0507,5.4707e-05,0,0,1.4914,1,0.3572,5.1,0.5572,0
1.0538,5.496e-05,0,0,1.4914,1,0.3591,5.1,0.5591,0
1.0569,5.5213e-05,0,0,1.4914,1,0.361,5.1,0.561,0
1.06,5.5466e-05,0,0,1.4914,1,0.3629,5.1,0.5629,0
1.0631,5.5718e-05,0,0,1.4914,1,0.3648,5.1,0.5648,0
1.0662,5.5971e-05,0,0,1.4914,1,0.3667,5.1,0.5667,0
1.0693,5.6224e-05,0,0,1.4914,1,0.3686,5.1,0.5686,0
1.0724,5.6477e-05,0,0,1.4914,1,0.3705,5.1,0.5705,0
1.0755,5.673e-05,0,0,1.4914,1,0.3724,5.1,0.5724,0
1.0786,5.6983e-05,0,0,1.4914,1,0.3743,5.1,0.5743,0
1.0817,5.7235e-05,0,0,1.4914,1,0.3762,5.1,0.5762,0
1.0848,5.7488e-05,0,0,1.4914,1,0.3781,5.1,0.5781,0
1.0879,5.7741e-05,0,0,1.4914,1,0.38,5.1,0.58,0
1.091,5.7994e-05,0,0,1.4914,1,0.3819,5.1,0.5819,0
1.0941,5.8247e-05,0,0,1.4914,1,0.3838,5.1,0.5838,0
1.0972,5.85e-05,0,0,1.4914,1,0.3857,5.1,0.5857,0
1.1003,5.8752e-05,0,0,1.4914,1,0.3876,5.1,0.5876,0
1.1034,5.9005e-05,0,0,1.4914,1,0.3895,5.1,0.5895,0
1.1065,5.9258e-05,0,0,1.4914,1,0.3914,5.1,0.5914,0
1.1096,5.9511e-05,0,0,1.4914,1,0.3933,5.1,0.5933,0
1.1127,5.9764e-05,0,0,1.4914,1,0.3952,5.1,0.5952,0
1.1158,6.0017e-05,0,0,1.4914,1,0.3971,5.1,0.5971,0
1.1189,6.0269e-05,0,0,1.4914,1,0.399,5.1,0.599,0
1.1217,6.0464e-05,0,0,1.4914,1,0.4009,5.1,0.6009,0
1.1243,6.0594e-05,0,0,1.4914,1,0.4028,5.1,0.6028,0
1.1268,6.0724e-05,0,0,1.4914,1,0.4047,5.1,0.6047,0
1.1293,6.0854e-05,0,0,1.4914,1,0.4066,5.1,0.6066,0
1.1319,6.0984e-05,0,0,1.4914,1,0.4085,5.1,0.6085,0
1.1344,6.1113e-05,0,0,1.4914,1,0.4104,5.1,0.6104,0
1.1369,6.1243e-05,0,0,1.4914,1,0.4123,5.1,0.6123,0
1.1394,6.1373e-05,0,0,1.4914,1,0.4142,5.1,0.6142,0
1.142,6.1503e-05,0,0,1.4914,1,0.4161,5.1,0.6161,0
1.1445,6.1633e-05,0,0,1.4914,1,0.418,5.1,0.618,0
1.147,6.1763e-05,0,0,1.4914,1,0.4199,5.1,0.6199,0
1.1495,6.1893e-05,0,0,1.4914,1,0.4218,5.1,0.6218,0
1.1521,6.2023e-05,0,0,1.4914,1,0.4237,5.1,0.6237,0
1.1546,6.2152e-05,0,0,1.4914,1,0.4256,5.1,0.6256,0
1.1571,6.2282e-05,0,0,1.4914,1,0.4275,5.1,0.6275,0
1.1596,6.2412e-05,0,0,1.4914,1,0.4294,5.1,0.6294,0
1.1622,6.2542e-05,0,0,1.4914,1,0.4313,5.1,0.6313,0
1.1647,6.2672e-05,0,0,1.4914,1,0.4332,5.1,0.6332,0
1.1672,6.2802e-05,0,0,1.4914,1,0.4351,5.1,0.6351,0
1.1697,6.2932e-05,0,0,1.4914,1,0.437,5.1,0.637,0
1.1723,6.3062e-05,0,0,1.4914,1,0.4389,5.1,0.6389,0
1.1748,6.3192e-05,0,0,1.4914,1,0.4408,5.1,0.6408,0
1.1773,6.3321e-05,0,0,1.4914,1,0.4427,5.1,0.6427,0
1.1798,6.3451e-05,0,0,1.4914,1,0.4446,5.1,0.6446,0
1.1824,6.3581e-05,0,0,1.4914,1,0.4465,5.1,0.6465,0
1.1849,6.3711e-05,0,0,1.4914,1,0.4484,5.1,0.6484,0
1.1874,6.3841e-05,0,0,1.4914,1,0.4503,5.1,0.6503,0
1.1899,6.3971e-05,0,0,1.4914,1,0.4522,5.1,0.6522,0
1.1925,6.4101e-05,0,0,1.4914,1,0.4541,5.1,0.6541,0
1.195,6.4231e-05,0,0,1.4914,1,0.456,5.1,0.656,0
1.1975,6.4361e-05,0,0,1.4914,1,0.4579,5.1,0.6579,0
1.2001,6.449e-05,0,0,1.4914,1,0.4598,5.1,0.6598,0
1.2026,6.462e-05,0,0,1.4914,1,0.4617,5.1,0.6617,0
1.2051,6.475e-05,0,0,1.4914,1,0.4636,5.1,0.6636,0
1.2076,6.488e-05,0,0,1.4914,1,0.4655,5.1,0.6655,0
1.2102,6.501e-05,0,0,1.4914,1,0.4674,5.1,0.6674,0
1.2127,6.514e-05,0,0,1.4914,1,0.4693,5.1,0.6693,0
1.2152,6.527e-05,0,0,1.4914,1,0.4712,5.1,0.6712,0
1.2177,6.54e-05,0,0,1.4914,1,0.4731,5.1,0.6731,0
1.2203,6.553e-05,0,0,1.4914,1,0.475,5.1,0.675,0
1.2228,6.5659e-05,0,0,1.4914,1,0.4769,5.1,0.6769,0
1.2253,6.5789e-05,0,0,1.4914,1,0.4788,5.1,0.6788,0
1.2278,6.5919e-05,0,0,1.4914,1,0.4807,5.1,0.6807,0
1.2304,6.6049e-05,0,0,1.4914,1,0.4826,5.1,0.6826,0
1.2329,6.6179e-05,0,0,1.4914,1,0.4845,5.1,0.6845,0
1.2354,6.6309e-05,0,0,1.4914,1,0.4864,5.1,0.6864,0
1.2379,6.6439e-05,0,0,1.4914,1,0.4883,5.1,0.6883,0
1.2405,6.6569e-05,0,0,1.4914,1,0.4902,5.1,0.6902,0
1.243,6.6698e-05,0,0,1.4914,1,0.4921,5.1,0.6921,0
1.2455,6.6828e-05,0,0,1.4914,1,0.494,5.1,0.694,0
1.248,6.6958e-05,0,0,1.4914,1,0.4959,5.1,0.6959,0
1.2506,6.7088e-05,0,0,1.4914,1,0.4978,5.1,0.6978,0
1.2531,6.7218e-05,0,0,1.4914,1,0.4997,5.1,0.6997,0
1.2551,6.7202e-05,0,0,1.4914,1,0.5016,5.1,0.7016,0
1.2571,6.7159e-05,0,0,1.4914,1,0.5035,5.1,0.7035,0
1.2591,6.7116e-05,0,0,1.4914,1,0.5054,5.1,0.7054,0
1.261,6.7073e-05,0,0,1.4914,1,0.5073,5.1,0.7073,0
1.263,6.703e-05,0,0,1.4914,1,0.5092,5.1,0.7092,0
1.2649,6.6987e-05,0,0,1.4914,1,0.5111,5.1,0.7111,0
1.2669,6.6944e-05,0,0,1.4914,1,0.513,5.1,0.713,0
1.2688,6.6901e-05,0,0,1.4914,1,0.5149,5.1,0.7149,0
1.2708,6.6858e-05,0,0,1.4914,1,0.5168,5.1,0.7168,0
1.2727,6.6815e-05,0,0,1.4914,1,0.5187,5.1,0.7187,0
1.2747,6.6772e-05,0,0,1.4914,1,0.5206,5.1,0.7206,0
1.2766,6.6729e-05,0,0,1.4914,1,0.5225,5.1,0.7225,0
1.2786,6.6686e-05,0,0,1.4914,1,0.5244,5.1,0.7244,0
